Сентябрь
Быт.1-2; Мф.1; Притч.1
Быт.3-4; Мф.2; Притч.2
Быт.5-6; Мф.3; Притч.3
Быт.7-8; Мф.4; Притч.4
Быт.9-10; Мф.5; Притч.5
Быт.11-12; Мф.6; Притч.6
Быт.13-14; Мф.7; Притч.7
Быт.15-16; Мф.8; Притч.8
Быт.17-18; Мф.9; Притч.9
Быт.19-20; Мф.10; Притч.10
Быт.21-22; Мф.11; Притч.11
Быт.23-24; Мф.12; Притч.12
Быт.25-26; Мф.13; Притч.13
Быт.27-28; Мф.14; Притч.14
Быт.29-30; Мф.15; Притч.15
Быт.31-32; Мф.16; Притч.16
Быт.33-34; Мф.17; Притч.17
Быт.35-36; Мф.18; Притч.18
Быт.37-38; Мф.19; Притч.19
Быт.39-40; Мф.20; Притч.20
Быт.41-42; Мф.21; Притч.21
Быт.43-44; Мф.22; Притч.22
Быт.45-46; Мф.23; Притч.23
Быт.47-48; Мф.24; Притч.24
Быт.49-50; Мф.25; Притч.25
Исх.1-2; Мф.26; Притч.26
Исх.3-4; Мф.27; Притч.27
Исх.5-6; Мф.28; Притч.28
Исх.7-8; Мк.1; Притч.29
Исх.9-10; Мк.2; Притч.30
Октябрь
Исх.11-12; Мк.3; Притч.31
Исх.13-14; Мк.4; Еккл.1
Исх.15-16; Мк.5; Еккл.2
Исх.17-18; Мк.6; Еккл.3
Исх.19-20; Мк.7; Еккл.4
Исх.21-22; Мк.8; Еккл.5
Исх.23-24; Мк.9; Еккл.6
Исх.25-26; Мк.10; Еккл.7
Исх.27-28; Мк.11; Еккл.8
Исх.29-30; Мк.12; Еккл.9
Исх.31-32; Мк.13; Еккл.10
Исх.33-34; Мк.14; Еккл.11
Исх.35-36; Мк.15; Еккл.12
Исх. 37-38; Флп.2; Песн.1
Исх.39-40; Мк.16; Песн.2
Лев.1-2; Лк.1; Песн.3
Лев.3-4; Лк.2; Песн.4
Лев.5-6; Лк.3; Песн.5
Лев.7-8; Лк.4; Песн.6
Лев.9-10; Лк.5; Песн.7
Лев.11-12; Лк.6; Песн.8
Лев.13-14; Лк.7; Пс.1
